       P1         P2           P3        X     Y
      3.00     500.00      30.00   275   0.49833
      3.00     500.00      30.00   276   0.44181
      3.00     500.00      30.00   277   0.38502
      3.00     500.00      30.00   278   0.32803
      3.00     500.00      30.00   279   0.27090
      3.00     500.00      30.00   280   0.21370
      3.00     500.00      30.00   281   0.15648
      3.00     500.00      30.00   282   0.09933
      3.00     500.00      30.00   283   0.04229
      3.00     500.00      30.00   284  -0.01457
      3.00     500.00      30.00   285  -0.07119
      3.00     500.00      30.00   286  -0.12750
      3.00     500.00      30.00   287  -0.18344
      3.00     500.00      30.00   288  -0.23896
      3.00     500.00      30.00   289  -0.29399
      3.00     500.00      30.00   290  -0.34847
      3.00     500.00      30.00   291  -0.40235
      3.00     500.00      30.00   292  -0.45556
      3.00     500.00      30.00   293  -0.50806
      3.00     500.00      30.00   294  -0.55978
      3.00     500.00      30.00   295  -0.61067
      3.00     500.00      30.00   296  -0.66068
      3.00     500.00      30.00   297  -0.70975
      3.00     500.00      30.00   298  -0.75784
      3.00     500.00      30.00   299  -0.80489
      3.00     500.00      30.00   300  -0.85086
      3.00     500.00      30.00   301  -0.89570
      3.00     500.00      30.00   302  -0.93936
      3.00     500.00      30.00   303  -0.98180
      3.00     500.00      30.00   304  -1.02298
      3.00     500.00      30.00   305  -1.06286
      3.00     500.00      30.00   306  -1.10140
      3.00     500.00      30.00   307  -1.13855
      3.00     500.00      30.00   308  -1.17429
      3.00     500.00      30.00   309  -1.20859
      3.00     500.00      30.00   310  -1.24140
      3.00     500.00      30.00   311  -1.27270
      3.00     500.00      30.00   312  -1.30245
      3.00     500.00      30.00   313  -1.33064
      3.00     500.00      30.00   314  -1.35724
      3.00     500.00      30.00   315  -1.38222
      3.00     500.00      30.00   316  -1.40556
      3.00     500.00      30.00   317  -1.42724
      3.00     500.00      30.00   318  -1.44725
      3.00     500.00      30.00   319  -1.46557
      3.00     500.00      30.00   320  -1.48218
      3.00     500.00      30.00   321  -1.49708
      3.00     500.00      30.00   322  -1.51026
      3.00     500.00      30.00   323  -1.52170
      3.00     500.00      30.00   324  -1.53140
      3.00     500.00      30.00   325  -1.53936
      3.00     500.00      30.00   326  -1.54557
      3.00     500.00      30.00   327  -1.55004
      3.00     500.00      30.00   328  -1.55277
      3.00     500.00      30.00   329  -1.55375
      3.00     500.00      30.00   330  -1.55301
      3.00     500.00      30.00   331  -1.55054
      3.00     500.00      30.00   332  -1.54635
      3.00     500.00      30.00   333  -1.54046
      3.00     500.00      30.00   334  -1.53288
      3.00     500.00      30.00   335  -1.52363
      3.00     500.00      30.00   336  -1.51271
      3.00     500.00      30.00   337  -1.50016
      3.00     500.00      30.00   338  -1.48598
      3.00     500.00      30.00   339  -1.47021
      3.00     500.00      30.00   340  -1.45287
      3.00     500.00      30.00   341  -1.43398
      3.00     500.00      30.00   342  -1.41357
      3.00     500.00      30.00   343  -1.39166
      3.00     500.00      30.00   344  -1.36830
      3.00     500.00      30.00   345  -1.34351
      3.00     500.00      30.00   346  -1.31732
      3.00     500.00      30.00   347  -1.28977
      3.00     500.00      30.00   348  -1.26089
      3.00     500.00      30.00   349  -1.23073
      3.00     500.00      30.00   350  -1.19931
      3.00     500.00      30.00   351  -1.16669
      3.00     500.00      30.00   352  -1.13290
      3.00     500.00      30.00   353  -1.09799
      3.00     500.00      30.00   354  -1.06199
      3.00     500.00      30.00   355  -1.02495
      3.00     500.00      30.00   356  -0.98692
      3.00     500.00      30.00   357  -0.94795
      3.00     500.00      30.00   358  -0.90807
      3.00     500.00      30.00   359  -0.86734
      3.00     500.00      30.00   360  -0.82582
      3.00     500.00      30.00   361  -0.78353
      3.00     500.00      30.00   362  -0.74055
      3.00     500.00      30.00   363  -0.69691
      3.00     500.00      30.00   364  -0.65267
      3.00     500.00      30.00   365  -0.60788
      3.00     500.00      30.00   366  -0.56260
      3.00     500.00      30.00   367  -0.51687
      3.00     500.00      30.00   368  -0.47074
      3.00     500.00      30.00   369  -0.42428
      3.00     500.00      30.00   370  -0.37753
      3.00     500.00      30.00   371  -0.33055
      3.00     500.00      30.00   372  -0.28338
      3.00     500.00      30.00   373  -0.23609
      3.00     500.00      30.00   374  -0.18872
      3.00     500.00      30.00   375  -0.14134
      3.00     500.00      30.00   376  -0.09398
      3.00     500.00      30.00   377  -0.04672
      3.00     500.00      30.00   378   0.00042
      3.00     500.00      30.00   379   0.04736
      3.00     500.00      30.00   380   0.09407
      3.00     500.00      30.00   381   0.14048
      3.00     500.00      30.00   382   0.18655
      3.00     500.00      30.00   383   0.23223
      3.00     500.00      30.00   384   0.27747
      3.00     500.00      30.00   385   0.32222
      3.00     500.00      30.00   386   0.36643
      3.00     500.00      30.00   387   0.41006
      3.00     500.00      30.00   388   0.45306
      3.00     500.00      30.00   389   0.49538
      3.00     500.00      30.00   390   0.53698
      3.00     500.00      30.00   391   0.57782
      3.00     500.00      30.00   392   0.61785
      3.00     500.00      30.00   393   0.65704
      3.00     500.00      30.00   394   0.69534
      3.00     500.00      30.00   395   0.73271
      3.00     500.00      30.00   396   0.76911
      3.00     500.00      30.00   397   0.80452
      3.00     500.00      30.00   398   0.83889
      3.00     500.00      30.00   399   0.87218
      3.00     500.00      30.00   400   0.90438
      3.00     500.00      30.00   401   0.93544
      3.00     500.00      30.00   402   0.96533
      3.00     500.00      30.00   403   0.99403
      3.00     500.00      30.00   404   1.02151
      3.00     500.00      30.00   405   1.04775
      3.00     500.00      30.00   406   1.07271
      3.00     500.00      30.00   407   1.09638
      3.00     500.00      30.00   408   1.11873
      3.00     500.00      30.00   409   1.13976
      3.00     500.00      30.00   410   1.15942
      3.00     500.00      30.00   411   1.17773
      3.00     500.00      30.00   412   1.19464
      3.00     500.00      30.00   413   1.21016
      3.00     500.00      30.00   414   1.22427
      3.00     500.00      30.00   415   1.23696
      3.00     500.00      30.00   416   1.24823
      3.00     500.00      30.00   417   1.25806
      3.00     500.00      30.00   418   1.26645
      3.00     500.00      30.00   419   1.27340
      3.00     500.00      30.00   420   1.27891
      3.00     500.00      30.00   421   1.28297
      3.00     500.00      30.00   422   1.28558
      3.00     500.00      30.00   423   1.28676
      3.00     500.00      30.00   424   1.28649
      3.00     500.00      30.00   425   1.28480
      3.00     500.00      30.00   426   1.28169
      3.00     500.00      30.00   427   1.27716
      3.00     500.00      30.00   428   1.27123
      3.00     500.00      30.00   429   1.26390
      3.00     500.00      30.00   430   1.25520
      3.00     500.00      30.00   431   1.24514
      3.00     500.00      30.00   432   1.23373
      3.00     500.00      30.00   433   1.22100
      3.00     500.00      30.00   434   1.20695
      3.00     500.00      30.00   435   1.19162
      3.00     500.00      30.00   436   1.17503
      3.00     500.00      30.00   437   1.15719
      3.00     500.00      30.00   438   1.13814
      3.00     500.00      30.00   439   1.11789
      3.00     500.00      30.00   440   1.09649
      3.00     500.00      30.00   441   1.07395
      3.00     500.00      30.00   442   1.05030
      3.00     500.00      30.00   443   1.02558
      3.00     500.00      30.00   444   0.99982
      3.00     500.00      30.00   445   0.97304
      3.00     500.00      30.00   446   0.94530
      3.00     500.00      30.00   447   0.91661
      3.00     500.00      30.00   448   0.88701
      3.00     500.00      30.00   449   0.85655
      3.00     500.00      30.00   450   0.82525
      3.00     500.00      30.00   451   0.79316
      3.00     500.00      30.00   452   0.76032
      3.00     500.00      30.00   453   0.72676
      3.00     500.00      30.00   454   0.69253
      3.00     500.00      30.00   455   0.65766
      3.00     500.00      30.00   456   0.62220
      3.00     500.00      30.00   457   0.58619
      3.00     500.00      30.00   458   0.54967
      3.00     500.00      30.00   459   0.51268
      3.00     500.00      30.00   460   0.47528
      3.00     500.00      30.00   461   0.43749
      3.00     500.00      30.00   462   0.39936
      3.00     500.00      30.00   463   0.36095
      3.00     500.00      30.00   464   0.32228
      3.00     500.00      30.00   465   0.28342
      3.00     500.00      30.00   466   0.24439
      3.00     500.00      30.00   467   0.20524
      3.00     500.00      30.00   468   0.16603
      3.00     500.00      30.00   469   0.12678
      3.00     500.00      30.00   470   0.08755
      3.00     500.00      30.00   471   0.04838
      3.00     500.00      30.00   472   0.00931
      3.00     500.00      30.00   473  -0.02961
      3.00     500.00      30.00   474  -0.06834
      3.00     500.00      30.00   475  -0.10685
      3.00     500.00      30.00   476  -0.14508
      3.00     500.00      30.00   477  -0.18299
      3.00     500.00      30.00   478  -0.22055
      3.00     500.00      30.00   479  -0.25772
      3.00     500.00      30.00   480  -0.29445
      3.00     500.00      30.00   481  -0.33071
      3.00     500.00      30.00   482  -0.36645
      3.00     500.00      30.00   483  -0.40165
      3.00     500.00      30.00   484  -0.43625
      3.00     500.00      30.00   485  -0.47023
      3.00     500.00      30.00   486  -0.50356
      3.00     500.00      30.00   487  -0.53619
      3.00     500.00      30.00   488  -0.56809
      3.00     500.00      30.00   489  -0.59923
      3.00     500.00      30.00   490  -0.62959
      3.00     500.00      30.00   491  -0.65912
      3.00     500.00      30.00   492  -0.68780
      3.00     500.00      30.00   493  -0.71560
      3.00     500.00      30.00   494  -0.74249
      3.00     500.00      30.00   495  -0.76845
      3.00     500.00      30.00   496  -0.79345
      3.00     500.00      30.00   497  -0.81747
      3.00     500.00      30.00   498  -0.84048
      3.00     500.00      30.00   499  -0.86246
      3.00     500.00      30.00   500  -0.88340
